N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered,contagious_percentage,ill_percentage,death_percentage,avg_iterations_to_die,diff_contage,diff_deaths,sum_of_diffs
3000,0.3,0.55,6,356,2644,2644,1302,1342,0.88,0.88,0.43,4.38,1444,1092,2536
3000,0.3,0.6,3,68,2932,2932,772,2160,0.98,0.98,0.26,3.08,1732,562,2294
3000,0.3,0.6,4,69,2931,2931,980,1951,0.98,0.98,0.33,3.53,1731,770,2501
3000,0.3,0.6,5,70,2930,2930,1211,1719,0.98,0.98,0.4,3.98,1730,1001,2731
3000,0.3,0.6,6,62,2938,2938,1460,1478,0.98,0.98,0.49,4.44,1738,1250,2988
3000,0.35,0.3,3,2994,6,6,1,5,0.0,0.0,0.0,3.0,1194,209,1403
3000,0.35,0.3,4,2997,3,3,0,3,0.0,0.0,0.0,0,1197,210,1407
3000,0.35,0.3,5,2992,8,8,4,4,0.0,0.0,0.0,2.75,1192,206,1398
3000,0.35,0.3,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.35,0.35,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.35,0.35,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.35,0.35,5,2996,4,4,1,3,0.0,0.0,0.0,6.0,1196,209,1405
3000,0.35,0.35,6,2385,615,615,310,305,0.2,0.2,0.1,4.37,585,100,685
3000,0.35,0.4,3,2994,6,6,1,5,0.0,0.0,0.0,4.0,1194,209,1403
3000,0.35,0.4,4,2997,3,3,1,2,0.0,0.0,0.0,5.0,1197,209,1406
3000,0.35,0.4,5,2967,33,33,14,19,0.01,0.01,0.0,3.79,1167,196,1363
3000,0.35,0.4,6,2216,784,784,406,378,0.26,0.26,0.14,4.31,416,196,612
3000,0.35,0.45,3,2992,8,8,4,4,0.0,0.0,0.0,2.75,1192,206,1398
3000,0.35,0.45,4,2992,8,8,4,4,0.0,0.0,0.0,3.0,1192,206,1398
3000,0.35,0.45,5,2998,2,2,1,1,0.0,0.0,0.0,2.0,1198,209,1407
3000,0.35,0.45,6,2994,6,6,3,3,0.0,0.0,0.0,5.33,1194,207,1401
3000,0.35,0.5,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.35,0.5,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.35,0.5,5,2364,636,636,298,338,0.21,0.21,0.1,3.95,564,88,652
3000,0.35,0.5,6,2998,2,2,0,2,0.0,0.0,0.0,0,1198,210,1408
3000,0.35,0.55,3,250,2750,2750,757,1993,0.92,0.92,0.25,3.03,1550,547,2097
3000,0.35,0.55,4,247,2753,2753,1035,1718,0.92,0.92,0.34,3.46,1553,825,2378
3000,0.35,0.55,5,263,2737,2737,1202,1535,0.91,0.91,0.4,3.93,1537,992,2529
3000,0.35,0.55,6,263,2737,2737,1392,1345,0.91,0.91,0.46,4.28,1537,1182,2719
3000,0.35,0.6,3,255,2745,2745,772,1973,0.92,0.92,0.26,3.09,1545,562,2107
3000,0.35,0.6,4,245,2755,2755,1000,1755,0.92,0.92,0.33,3.53,1555,790,2345
3000,0.35,0.6,5,244,2756,2756,1196,1560,0.92,0.92,0.4,3.93,1556,986,2542
